HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,PRIMARY_DRIVER_ID,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_ID,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT,WORK_ADDR_NUMB,WORK_ADDR_STREET_NAME,WORK_ADDR_UNIT_DESIGNATION,WORK_ADDR_UNIT_NUMBER,WORK_ADDR_CITY,WORK_ADDR_STATE,WORK_ADDR_ZIPCODE,WORK_ADDR_LATITUDE,WORK_ADDR_LONGITUDE,WORK_ADDR_PBKEY,ADDR_STREET_NUMBER,ADDR_STREET_NAME,ADDR_UNIT_DESIGNATION,ADDR_UNIT_NUMBER,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,PBKEY
KI98597,VRX5780,ZW4263453,A-2017-SA279,3,,1,384000.6,00:00.0,00:00.0,0,3,41.79185207,-87.8013778,21330,1,VRX5780,04/06/2016,04/06/2017,2000,Toyota,Corolla,UDHZ478,White,370668,0,Tasha,Rew,F,25/11/1967,024-31-2998,P682-5118-5638,13/07/2019,IL,14/01/2007,238-856-0215 ,trew@mmail.com,0,1908,W ROOSEVELT RD,,,CHICAGO,IL,60608,41.867177,-87.674061,P00007UWN7RE,6603,NATASHA CT,,,COUNTRYSIDE,IL,60525,41.768525,-87.886768,-87.886768
CG61685,TIA1702,UW8176531,A-2018-EJ368,2,,3,251644.8,00:00.0,00:00.0,1,1,42.00593081,-87.68066049,3427,0,TIA1702,10/04/2017,10/04/2018,2007,Nissan,Rogue,QSSR643,Med Dk Blue,237900,0,Casey,Glauber,F,12/03/1964,060-11-5593,N905-1410-1235,25/04/2020,IL,25/09/2009,729-792-0612 ,cglauber@beemail.com,0,14030,PARK AVE,,,DOLTON,IL,60419,41.639653,-87.610394,P00007UTRG5Y,1400,S MICHIGAN AVE,APT,812,CHICAGO,IL,60605,41.863785,-87.624553,-87.624553
AB12181,OBD8151,RW8652538,A-2017-CT587,2,,1,300279.3,00:00.0,00:00.0,0,1,41.69340052,-87.61232172,35385.5,1,OBD8151,25/11/2016,25/11/2017,2004,Chevrolet,Camaro,EBPS972,Silver,294552,0,Marguerite,Derfus,F,06/04/1965,518-80-3637,B797-7778-3019,13/04/2019,IL,04/07/1999,736-908-0587 ,mderfus@zohoo.com,0,17048,OAK PARK AVE,,,TINLEY PARK,IL,60477,41.58114,-87.785054,P00007UU0CEX,5945,S KOLIN AVE,,,CHICAGO,IL,60629,41.784505,-87.731125,-87.731125
BJ63668,WDC2749,PQ3189850,A-2017-CU817,2,,3,73419.5,00:00.0,00:00.0,0,1,41.84014456,-87.66133946,1570,0,OZP7842,06/04/2016,06/04/2017,2010,Honda,HR-V,WEIJ389,Black,68880,1,Lauren,Bennerman,M,29/11/1949,374-53-5198,B838-2736-1084,15/07/2020,IL,21/05/2002,739-454-0796 ,lbennerman@fasstmail.com,0,5425,W MONROE ST,,,CHICAGO,IL,60644,41.879049,-87.760607,P00007UUT2SR,2040,N DAMEN AVE,,,CHICAGO,IL,60647,41.918961,-87.677944,-87.677944
MG83193,XJB5149,XN9015815,A-2018-LF972,2,,3,118923.9,00:00.0,00:00.0,0,1,41.97517487,-87.7683442,2370,0,XJB5149,21/11/2017,21/11/2018,2007,Jeep,Renegade,KGAI436,Med Dk Blue,107052,1,Lavonne,Seachrist,F,26/11/1977,026-12-7247,L783-7567-9623,31/07/2018,IL,16/07/2012,241-352-0754 ,lseachrist@beemail.com,0,1258,S KEELER AVE,,,CHICAGO,IL,60623,41.864394,-87.730357,P00007UWP99L,1915,BROOKSIDE LN,,,HOFFMAN ESTATES,IL,60169,42.052519,-88.126611,-88.126611
IJ01709,CRP8660,SV1659058,A-2017-ML677,1,,1,182681.3,00:00.0,00:00.0,1,1,41.89017255,-87.64999164,26250,1,CRP8660,23/07/2016,23/07/2017,2009,Chevrolet,Equinox,KZHI056,Light Brown,177168,0,Milford,Pudelek,M,06/05/1990,757-79-0592,L593-9477-8291,28/09/2019,IL,26/11/2004,237-895-0114 ,mpudelek@husshmail.com,0,10848,CANTERBURY DR,,,MOKENA,IL,60448,41.549266,-87.881936,P00007UTW7XJ,1518,NEWBERRY AVE,,,LA GRANGE PARK,IL,60526,41.840755,-87.863346,-87.863346
BC94182,PEQ6155,UQ8163328,A-2018-WZ492,5,,1,160429.9,00:00.0,00:00.0,1,3,41.84065787,-87.72589914,25830,1,PEQ6155,11/07/2017,11/07/2018,2011,Nissan,Versa,FZEB641,Med Red,155820,0,Margret,Parizek,F,28/10/1977,422-73-7053,B318-8209-8689,22/07/2021,IL,23/02/2007,221-587-0845 ,mparizek@husshmail.com,0,310,DODGE AVE,,,EVANSTON,IL,60202,42.023566,-87.699873,P00007UWKMDQ,8541,LOTUS AVE,APT,716,SKOKIE,IL,60077,42.036175,-87.763821,-87.763821
MF96553,PPI8400,OT0287150,A-2018-DI451,2,,1,165363.7,00:00.0,00:00.0,1,4,41.88470505,-87.66704583,23483,1,PPI8400,23/04/2017,23/04/2018,2010,Hyundai,Tucson,QWRA025,Med Dark Green,159408,0,Stephan,Kebe,M,05/06/1979,677-32-8448,T337-9043-4676,26/11/2021,IL,18/09/2006,840-596-0633 ,skebe@mooosend.com,0,807,CHURCH ST,APT,P36,EVANSTON,IL,60201,42.048703,-87.682625,P00007UWKJP1,1605,W BROADLAND LN,,,LAKE FOREST,IL,60045,42.235813,-87.886131,-87.886131
BC90853,JOA9170,TW2172802,A-2016-RW653,5,,3,240639.2,00:00.0,00:00.0,1,1,41.73618257,-87.64365982,2173.5,0,JOA9170,20/08/2015,19/08/2016,2005,Chevrolet,Express,DMGO766,Black,228228,0,Barton,Aristil,M,04/01/1962,572-19-1787,K682-9535-3438,09/09/2020,IL,16/05/1999,232-384-0920 ,baristil@mooosend.com,0,5475,N MILWAUKEE AVE,,,CHICAGO,IL,60630,41.981311,-87.772401,P00007UUNF8N,423,BELOIT AVE,,,FOREST PARK,IL,60130,41.878605,-87.812311,-87.812311
AK42388,KNQ4268,PP7360289,A-2017-KO812,4,,3,388591.3,00:00.0,00:00.0,1,1,41.76203035,-87.61169575,1750,0,KNQ4268,17/04/2016,17/04/2017,2001,Dodge,Ram,HCCT626,Light Brown,379584,0,Adolfo,Ludvigson,M,17/12/1980,577-65-7635,G412-3879-8304,10/03/2021,IL,12/02/2008,749-985-0925 ,aludvigson@mmail.com,0,8157,S WESTERN AVE,,,CHICAGO,IL,60620,41.744808,-87.682372,P00007UWOV1K,33,W ONTARIO ST,APT,16E,CHICAGO,IL,60654,41.892856,-87.62922,-87.62922
HB16909,SRU2950,OY6516260,A-2016-CA740,1,,1,59498.7,00:00.0,00:00.0,1,1,42.00642207,-87.67812041,20310,1,SRU2950,18/04/2015,17/04/2016,2013,Kia,Optima,VPIX893,White,57024,0,Pablo,Yuson,M,14/11/1992,674-71-5901,E815-9580-7246,22/01/2021,IL,01/11/2006,261-881-0294 ,pyuson@lightemail.com,0,14342,OAKLEY AVE,,,ORLAND PARK,IL,60462,41.628775,-87.871576,P00007UTYLF4,26235,S PEACH TREE LN,,,MONEE,IL,60449,41.413341,-87.744754,-87.744754
FA97534,EHL9301,OS6708536,A-2018-PV577,1,,3,94043.6,00:00.0,00:00.0,0,1,41.81360176,-87.704338,2810,0,BIN1474,01/10/2017,01/10/2018,2014,Chevrolet,Colorado,RCGX530,Silver,81624,0,Kip,Martilla,M,07/08/1981,390-56-9983,O712-6388-9447,07/10/2019,IL,12/03/2001,634-984-0329 ,kmartilla@gmxx.com,0,5651,W IRVING PARK RD,,,CHICAGO,IL,60634,41.952844,-87.769028,P00007UUON6A,641,NOR OAKS CT,,,WEST CHICAGO,IL,60185,41.895214,-88.20205,-88.20205
CF57572,CJY6373,QV4842191,A-2017-JI571,4,,3,69305.4,00:00.0,00:00.0,1,1,41.9969237,-87.80694519,2370,0,WKB8440,06/03/2016,06/03/2017,2014,Mazda,CX-5,CFHZ633,Light Brown,58644,0,Phil,Smets,M,22/04/1935,619-49-9034,V580-5596-9033,25/10/2021,IL,07/01/2000,723-499-0260 ,psmets@fasstmail.com,0,2422,FIELD AVE,,,BROADVIEW,IL,60155,41.846203,-87.861392,P00007UX6F26,344,MARSHALL AVE,,,BELLWOOD,IL,60104,41.885531,-87.880014,-87.880014
ME37855,NCL2868,VT9807337,A-2018-CK215,5,,3,207764.4,00:00.0,00:00.0,0,1,41.95222752,-87.72742482,1320,0,NCL2868,14/01/2017,14/01/2018,2008,Chevrolet,Silverado,IABR557,Silver,206640,0,Edythe,Guikema,F,18/02/1936,310-38-2514,L127-2171-5221,16/05/2019,IL,05/05/2005,836-822-0418 ,eguikema@mmail.com,0,1400,E KENSINGTON RD,,,MOUNT PROSPECT,IL,60056,42.08155,-87.913034,P00007UWIUYE,2628,GREEN BAY RD,,,EVANSTON,IL,60201,42.065181,-87.699851,-87.699851
LA79549,YWA1319,PU5439335,A-2017-FJ217,5,,1,302710,00:00.0,00:00.0,0,5,41.9768951,-87.69227967,30840,1,YWA1319,04/04/2016,04/04/2017,2001,Acura,MDX,CIEG457,Silver,301680,0,Debora,Kostic,F,15/04/1952,899-34-7907,C909-6208-3289,28/04/2019,IL,27/11/2012,729-351-0694 ,dkostic@husshmail.com,0,2608,W 97TH ST,,,EVERGREEN PK,IL,60805,41.717525,-87.687407,P00007UV0SWO,850,W BELDEN AVE,,,CHICAGO,IL,60614,41.923827,-87.650662,-87.650662
II25056,CVI8835,OJ5466096,A-2017-YI133,4,,3,109080,00:00.0,00:00.0,0,3,41.88078079,-87.73023238,1230.5,0,CVI8835,20/05/2016,20/05/2017,2012,Dodge,Ram,DIPW431,Light Brown,101292,0,Elba,Nikolopoulos,F,12/09/1988,173-56-7742,L306-9916-4447,08/12/2018,IL,19/08/2015,235-784-0008 ,enikolopoulos@zohoo.com,0,15529,BLACKSTONE AVE,,,DOLTON,IL,60419,41.612678,-87.580256,P00007UWL0RM,16830,CRANE AVE,,,HAZEL CREST,IL,60429,41.583812,-87.671846,-87.671846
CK11297,HIR9014,RR5447110,A-2018-QW132,4,,3,69640.2,00:00.0,00:00.0,0,1,41.89275285,-87.76070937,1020,0,HIR9014,11/07/2017,11/07/2018,2015,Toyota,Prius,ZQIT260,Silver,57780,0,Shawna,Herrador,F,08/06/1948,682-40-8477,T455-9174-4535,10/11/2021,IL,18/07/2014,723-821-0048 ,sherrador@life.com,0,3,E 146TH ST,,,RIVERDALE,IL,60827,41.630152,-87.621758,P00007UV0T9Q,300,N STATE ST,APT,4010,CHICAGO,IL,60654,41.888195,-87.628468,-87.628468
KJ99727,MDE6706,RQ6230412,A-2018-AC526,2,,2,281332.9,00:00.0,00:00.0,1,1,41.9383457,-87.71230667,2470,0,MDE6706,17/05/2017,17/05/2018,2004,Honda,CR-V,FVGI062,Med. Dark Gray,276972,0,Francesca,Farrelly,F,23/07/1965,184-39-3490,O234-3528-1371,18/10/2020,IL,21/04/2010,232-902-0602 ,ffarrelly@freshmaail.com,0,889,W NORTH AVE,APT,D,VILLA PARK,IL,60181,41.904499,-87.99943,P00007UTL6L3,246,STAFFMARK LN,,,SCHAUMBURG,IL,60193,42.023116,-88.07595,-88.07595
GF42714,NKZ8115,ST5381628,A-2016-RA233,1,,1,176864.1,00:00.0,00:00.0,0,2,41.90643022,-87.64830557,31020,1,NKZ8115,23/08/2015,22/08/2016,2008,Hyundai,Tucson,AIXJ529,White,169824,0,Eloisa,Carty,F,09/08/1948,619-16-2595,U562-2653-5208,12/03/2020,IL,22/11/2002,723-262-0522 ,ecarty@inboux.com,0,3950,S PRINCETON AVE,,,CHICAGO,IL,60609,41.823469,-87.63636,P00007UWNENJ,700,W 43RD ST,,,CHICAGO,IL,60609,41.816485,-87.643569,-87.643569
BD67160,SAD8006,YS2739165,A-2018-CE386,3,,3,223253.6,00:00.0,00:00.0,0,1,41.89078197,-87.63125181,1890,0,SAD8006,08/02/2017,08/02/2018,2009,Toyota,Corolla,SEWV088,Med Red,212976,0,Tommie,Talaga,F,03/04/1942,173-46-6340,Z180-6156-2491,09/09/2020,IL,01/06/2011,739-772-0739 ,ttalaga@lightemail.com,0,207,N MIDLAND AVE,,,JOLIET,IL,60435,41.525971,-88.115928,P00007UTTQ65,6525,173RD PL,APT,2B,TINLEY PARK,IL,60477,41.575672,-87.777843,-87.777843
MJ57549,OGG2359,TO5690517,A-2018-CX480,3,,3,139853.9,00:00.0,00:00.0,0,1,41.89244415,-87.63720038,1932,0,OGG2359,03/08/2017,03/08/2018,2012,Hyundai,Tucson,JWIW436,Light Brown,134940,0,Joan,Toder,M,14/10/1997,368-73-0211,X872-2345-2670,09/07/2018,IL,27/08/2013,821-774-0093 ,jtoder@lightemail.com,0,16956,BLUFF RD,,,LEMONT,IL,60439,41.680617,-88.033515,P00007UWLB77,2062,WHEATFIELD DR,,,ROMEOVILLE,IL,60446,41.611756,-88.16079,-88.16079
FI15095,MWA3612,NO2626234,A-2016-VA733,1,,3,210844.5,00:00.0,00:00.0,0,1,41.8181867,-87.7433186,1730,0,MWA3612,25/07/2015,24/07/2016,2005,Kia,Forte,WWFJ255,Black,199452,0,Norman,Robus,M,08/11/1995,789-97-8931,J286-2558-6822,17/09/2021,IL,03/01/2000,748-836-0845 ,nrobus@yahoot.com,0,9829,S KOLIN AVE,,,OAK LAWN,IL,60453,41.713535,-87.729265,P00007UTXGR5,21545,JEFFREY AVE,,,SAUK VILLAGE,IL,60411,41.49619,-87.572537,-87.572537
ID61421,EXX9506,YS0850770,A-2016-EL664,2,,3,282275.4,00:00.0,00:00.0,0,3,41.88241054,-87.63721144,2170,0,EXX9506,15/09/2015,14/09/2016,2004,Ford,E-Series,NWTR387,White,276624,0,Belinda,Laughon,F,19/01/1981,463-86-6888,B796-7882-6341,20/05/2018,IL,15/09/2008,842-390-0006 ,blaughon@inboux.com,0,724,N WESTERN AVE,APT,I,PARK RIDGE,IL,60068,42.020796,-87.846011,P00007UWJ1C7,1469,N DRIFTWOOD AVE,,,PALATINE,IL,60067,42.136939,-88.052807,-88.052807
MA52163,LSI8871,QR4862688,A-2017-TP823,1,,1,224281.5,00:00.0,00:00.0,1,2,41.93136196,-87.72315142,20380,1,DLO2085,27/06/2016,27/06/2017,2007,Dodge,Ram,QWPG124,Silver,222168,0,Lloyd,Highbaugh,M,15/06/1937,409-13-4199,V357-3958-1578,11/02/2020,IL,07/09/2008,235-727-0567 ,lhighbaugh@mmail.com,0,2949,CLEMATIS DR,,,SCHAUMBURG,IL,60193,42.02546,-88.153918,P00007UTN8H3,8044,W LYONS ST,APT,D,NILES,IL,60714,42.050841,-87.827062,-87.827062
DH36190,HZO2953,RU4821935,A-2017-ZY438,5,,1,246553.7,00:00.0,00:00.0,1,1,41.81920073,-87.68457036,36190,1,HZO2953,16/03/2016,16/03/2017,2006,Toyota,Camry,JGIH775,Silver,245400,0,Elissa,Husmann,F,20/04/1939,141-58-9588,S299-6049-4016,03/11/2020,IL,09/02/2006,745-989-0324 ,ehusmann@inboux.com,0,5529,S ABERDEEN ST,,,CHICAGO,IL,60621,41.792933,-87.652069,P00007UWP38T,7338,S CALUMET AVE,,,CHICAGO,IL,60619,41.760872,-87.617236,-87.617236
EA76874,WWL4334,OO6902604,A-2018-YO211,3,,1,193096,00:00.0,00:00.0,1,1,41.90191323,-87.70164516,27370,1,WWL4334,25/05/2017,25/05/2018,2008,Chevrolet,Traverse,WTSS934,Med Dk Blue,188184,0,Karina,Baehler,F,31/08/1963,484-48-3708,Q874-7759-2892,22/04/2021,IL,13/03/2007,735-663-0507 ,kbaehler@fasstmail.com,0,12811,W BLOSSOM DR,,,ALSIP,IL,60803,41.657868,-87.732506,P00007UX7S9F,16,N MAY ST,UNIT,508,CHICAGO,IL,60607,41.882335,-87.655812,-87.655812
HJ59908,VYN5700,NN5051378,A-2016-EH641,2,,3,68251,00:00.0,00:00.0,0,1,41.88332815,-87.62846744,2280,0,VYN5700,22/06/2015,21/06/2016,2010,Ford,Explorer,BOOJ912,White,61920,1,Garret,Lor,M,18/05/1980,585-13-7095,M104-2165-8161,25/08/2020,IL,22/07/2009,745-914-0060 ,glor@mmail.com,0,18952,W OAK AVE,,,MUNDELEIN,IL,60060,42.246063,-88.003076,P00007UT4WD2,1916,N SAYRE AVE,,,CHICAGO,IL,60707,41.914996,-87.800977,-87.800977
EL79658,KYK1171,XN0256599,A-2017-VB796,1,,3,163689.5,00:00.0,00:00.0,0,3,41.84415759,-87.72469381,2360,0,KYK1171,27/05/2016,27/05/2017,2010,Honda,CR-V,VCIW471,Med Dk Blue,163044,0,Corina,Lindhout,F,04/02/1954,294-58-5476,Y471-1407-3196,22/10/2020,IL,10/11/2007,258-791-0720 ,clindhout@zohoo.com,1,600,E RAND RD,,,ARLINGTON HEIGHTS,IL,60004,42.111809,-87.976743,P00007USWMHR,735,HARMS RD,,,GLENVIEW,IL,60025,42.068319,-87.771078,-87.771078
EF67827,GZS5253,ZO5517949,A-2018-PQ500,5,,1,434090,00:00.0,00:00.0,1,1,41.68942688,-87.65875179,34490,1,GZS5253,05/06/2017,05/06/2018,1998,Nissan,Sentra,SFZL388,Silver,432000,0,Heath,Constantin,M,26/03/1947,162-38-7020,I275-9205-3978,10/04/2020,IL,04/01/1999,230-494-0682 ,hconstantin@zohoo.com,0,1850,S SPRINGFIELD AVE,,,CHICAGO,IL,60623,41.855576,-87.722718,P00007UWPD0A,5350,9TH AVE,,,COUNTRYSIDE,IL,60525,41.792854,-87.864253,-87.864253
AE73680,ZLV8042,WO6936760,A-2017-LM549,3,,1,40609.9,00:00.0,00:00.0,1,1,42.0004435,-87.66085935,30350,1,ZLV8042,25/03/2016,25/03/2017,2014,Toyota,Corolla,CTVQ181,White,28386,1,Angelia,Sobey,F,21/11/1992,135-08-8872,Q191-7070-6656,24/10/2021,IL,02/09/2012,232-227-0074 ,asobey@mooosend.com,0,1025,CAMPUS DR,,,MUNDELEIN,IL,60060,42.25,-87.982386,P00007UW4U4R,32,MOFFETT RD,,,LAKE BLUFF,IL,60044,42.269796,-87.836708,-87.836708
